date,tmin_c,tmax_c,tmin_f,tmax_f,prcp_mm,prcp_in,snow_mm,snow_in,snwd_mm,snwd_in
2022-02-01,-4.9,2.2,23.18,35.96,0.0,0.0,0.0,0.0,150.0,5.905511811023622
2022-02-02,0.0,8.3,32.0,46.94,0.0,0.0,0.0,0.0,100.0,3.937007874015748
2022-02-03,5.6,11.1,42.08,51.98,10.7,0.421259842519685,0.0,0.0,50.0,1.968503937007874
2022-02-04,-3.2,13.9,26.240000000000002,57.02,18.3,0.7204724409448819,0.0,0.0,0.0,0.0
2022-02-05,-7.1,-2.7,19.22,27.14,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,-8.2,-1.0,17.240000000000002,30.2,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07,-1.0,2.8,30.2,37.04,3.8,0.14960629921259844,0.0,0.0,0.0,0.0
2022-02-08,0.0,7.2,32.0,44.96,1.8,0.07086614173228346,0.0,0.0,0.0,0.0
2022-02-09,-1.6,7.8,29.12,46.04,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,2.8,12.2,37.04,53.96,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,3.3,13.9,37.94,57.02,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,5.6,15.0,42.08,59.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,-3.8,5.6,25.16,42.08,5.8,0.2283464566929134,41.0,1.6141732283464567,30.0,1.1811023622047245
2022-02-14,-8.8,-3.8,16.16,25.16,0.0,0.0,0.0,0.0,30.0,1.1811023622047245
2022-02-15,-8.8,-1.0,16.16,30.2,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16,-2.1,9.4,28.22,48.92,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,9.4,20.0,48.92,68.0,7.9,0.31102362204724415,0.0,0.0,0.0,0.0
2022-02-18,-2.7,17.2,27.14,62.959999999999994,8.4,0.33070866141732286,0.0,0.0,0.0,0.0
2022-02-19,-4.9,4.4,23.18,39.92,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,-6.0,2.2,21.2,35.96,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,0.0,12.8,32.0,55.04,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-22,2.8,16.1,37.04,60.980000000000004,6.6,0.25984251968503935,0.0,0.0,0.0,0.0
2022-02-23,1.7,20.0,35.06,68.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-24,-1.6,1.7,29.12,35.06,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,-3.2,5.0,26.240000000000002,41.0,18.8,0.7401574803149606,10.0,0.3937007874015748,0.0,0.0
2022-02-26,-4.3,2.8,24.26,37.04,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-27,-2.1,8.9,28.22,48.02,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,-3.2,2.2,26.240000000000002,35.96,0.0,0.0,0.0,0.0,0.0,0.0
